finding_id,domain,component,etat_suppose,etat_reel_verifie,ecart,cause_racine,severite,mock,live
BUG-029,generation-video,e2e/content-studio-v2/create-mock-video.spec.ts:28 + src/components/admin/content-studio-v2/create/MediaStudio.tsx:240,Le spec MOCK 'reel → MP4 jouable' valide que le flux opérateur reel produit une vidéo lisible. Rapport attendu: passed.,"Le test timeout à 30s en cliquant getByRole('button',{name:/Générer un visuel IA/i}). En mode kind=video le libellé réel du bouton est « Générer une vidéo IA » (MediaStudio.tsx:240: kind==='video' ? 'Générer une vidéo IA' : 'Générer un visuel IA'). Le page-snapshot Playwright montre le bouton ref=e239 « Générer une vidéo IA » bien présent et cliquable. L'app fonctionne; le sélecteur du test est faux.","Le test ne reflète pas le libellé réel. Un rapport rouge sur ce spec fait croire à une vidéo cassée alors que c'est le test qui est obsolète. Inversement le 2e spec (image, ligne 51) passe car il bascule en kind=image (libellé 'Générer un visuel IA').",Libellé du bouton conditionnel au kind introduit après l'écriture du spec; le sélecteur du spec n'a pas été mis à jour.,major,works,n/a
BUG-030,generation-video,src/lib/ai-engine/nodes/generate-video.ts + src/lib/ai-engine/nodes/compose.ts + .media-storage/ai-engine/,generateVideoNode rend un MP4 via ffmpeg (drawtext par scène); composeNode mixe vidéo+voix+musique+sous-titres en MP4 final. Ces nodes sont les 'vraies' étapes vidéo de l'AI Engine.,"Aucun fichier .mp4 / video-* / voiceover-* / music-* dans .media-storage/ai-engine/ (977 .jpg dont la quasi-totalité 10-14 octets de stubs texte, + 210 .srt). Le pipeline vidéo AI-Engine n'a jamais produit de média réel dans cet environnement. De plus, le node n'est PAS atteint par le flux opérateur /create (aucun import croisé content-studio→ai-engine/nodes): l'opérateur utilise generateStudioVideo (mock asset statique), pas ffmpeg. Donc voix-off/musique/sous-titres/compose vidéo sont inaccessibles à l'opérateur.",Toute la chaîne vidéo 'riche' (compose audio+sous-titres) est soit fantôme (jamais run avec succès) soit hors du chemin opérateur. Le mock opérateur sert juste un MP4 préenregistré sans aucune composition.,Deux systèmes parallèles non reliés pour la vidéo; le pont content-studio-bridge ne ramène que des images (skip mock images) et n'achemine pas de vidéo. Les nodes vidéo ne sont validés qu'en tests avec ffmpeg mocké.,major,partial,untested
BUG-031,generation-video,src/lib/ai-engine/nodes/compose.ts:15 + compose.test.ts / transcode-export.test.ts (paths relatifs vers .media-storage réel),"Les tests des nodes (compose, transcode-export) mockent sharp et writeFile et n'écrivent rien sur le vrai disque.","Des stubs texte reels (10o 'mock-image') sont ecrits dans .media-storage/ai-engine de PROD pendant vitest (dates 18:33:17 = run audit). La cause n'est PAS compose.test.ts/transcode-export.test.ts (qui mockent tous deux writeFile correctement) mais les tests qui exercent le graphe/nodes SANS mocker node:fs/promises: orchestrator.test.ts (runGeneration), generate-images.test.ts (generateImagesNode), job-lifecycle.test.ts, db-transaction.test.ts, concurrent.test.ts, security.test.ts. MEDIA_DIR = join(process.cwd(),'../../.media-storage/ai-engine') (compose.ts:15, generate-video.ts:16) pointe vers le stockage prod partage, sans isolation tmpdir.",Des artefacts de test corrompent le stockage média réel (977 jpg majoritairement stubs). Risque: un composed-*.jpg de 10 octets pourrait être servi comme média si référencé. Pollution + bruit d'audit.,MEDIA_DIR relatif partagé entre tests et runtime; mock writeFile partiel non garanti; absence d'isolation (tmpdir) dans les tests de nodes.,major,broken,n/a
BUG-032,generation-video,src/lib/content-studio/video-generation.test.ts:198-224 + video-generation.ts:205-209,Le test 'polling status=failed → throw' valide que generateStudioVideo rejette sur statut failed; vitest devrait sortir 0.,"Vitest rapporte 'Test Files 137 passed', 'Tests 1695 passed', MAIS 'Errors 1 error' et VITEST_EXIT=1. L'erreur: Unhandled Rejection 'Higgsfield video failed: content policy violation' originant de video-generation.ts:206 dans generateHiggsfieldStudioVideo. Le test avance les fake-timers de 6000ms puis await le rejet, mais entre l'avance du timer et le throw il y a deux awaits (fetch poll + .json()) → le throw échappe à la chaîne résolue par advanceTimersByTimeAsync, laissant une promesse rejetée non gérée.",Rapport tout-vert trompeur: la CI sur 'passed count' croit le suite saine alors que le process échoue (exit 1). Illustration exacte du décalage test↔réalité.,"Mauvaise gestion fake-timers/microtâches dans le test (multiples awaits après l'avance unique), pas de drain complet des timers avant l'assertion de rejet.",major,broken,n/a
BUG-033,montage-composition,"src/lib/ai-engine/nodes/compose.ts, src/lib/ai-engine/nodes/transcode-export.ts, src/components/admin/content-studio-v2/create/MediaStudio.tsx","L'opérateur génère du contenu et obtient un média composé (overlay caption, mux audio) puis transcodé/exporté au format plateforme.","Le create flow (/admin/content-studio-v2/create -> MediaStudio) appelle generate-visual -> generateVisualForDraft (Systeme B) qui n'invoque jamais compose/transcode: aucune feature de MONTAGE (mux voix-off/musique, overlay caption, burn-in sous-titres, transcode au spec plateforme) n'est exercee dans ce parcours; l'operateur obtient une image generee ou un MP4 mock statique sans montage. compose/transcodeExport ne tournent que dans le graphe LangGraph, atteignable via une UI distincte (/ai-engine/create) — ils ne sont donc pas du code mort, mais leur sortie n'est de toute facon ni surfacee ni persistee (cf montage-composition-2). Deux pipelines paralleles non fusionnes.","Tout le code de composition/mux/transcodage réel (voix-off+musique amix, overlay, H.264) est mort pour l'opérateur. Le montage promis n'existe pas dans le parcours réel.",Deux systèmes de génération parallèles non fusionnés. Le create flow est câblé sur le système B (content-studio/service.ts) tandis que compose/transcode appartiennent au système A (ai-engine/graph/builder.ts).,major,partial,broken
BUG-034,montage-composition,src/lib/ai-engine/bridge/content-studio-bridge.ts,"Après génération AI-Engine, le média composé+exporté (vidéo/image finale, vignettes) apparaît dans la bibliothèque Content Studio et est publiable.","Non seulement le bridge ignore composition/exports/thumbnails — ces champs ne sont meme pas inclus dans GenerationResult par orchestrator.buildResult, donc ils sont perdus avant d'atteindre le bridge. Le seul rattachement tente (images) echoue car generate-images produit un assetId synthetique sans row media correspondante. Resultat: aucune image/composition/export/vignette du Systeme A n'est persistee ni rattachee au draft.","Même quand le graphe produit une composition réelle, elle est perdue : aucune URL d'export/vignette n'est persistée ni rattachée au draft. La bibliothèque n'affiche jamais le rendu monté.","Le bridge a été écrit pour les métadonnées textuelles, pas pour les assets médias. Aucun mapping assetId AI-Engine → row table media.",major,broken,broken
BUG-035,montage-composition,"src/lib/ai-engine/nodes/compose.test.ts, transcode-export.test.ts, .media-storage/ai-engine/*",Les tests verts (1695 passed) prouvent que la composition et le transcodage produisent des médias valides.,"compose.test.ts/transcode-export.test.ts font vi.mock de 'sharp', 'fluent-ffmpeg', 'ffmpeg-static' ET 'node:fs/promises' (writeFile→noop). Aucun pixel/octet réel n'est produit en test. Les 977 .jpg dans .media-storage/ai-engine font 10 ou 14 octets et contiennent le texte ASCII 'mock-image' ; un seul vrai JPEG (23577 octets) existe. Aucun .mp4 (0).","Le rendu monté réel (overlay SVG, amix audio, copy/transcode H.264) n'est exercé par AUCUN test. Un rapport tout-vert masque un pipeline jamais validé bout-en-bout avec les vraies libs.",Stratégie de test 100% mock sur les dépendances natives lourdes ; aucun test d'intégration avec ffmpeg/sharp réels (pourtant installés sur le serveur).,major,untested,untested
BUG-036,montage-composition,"src/lib/ai-engine/nodes/compose.ts, src/lib/ai-engine/nodes/generate-subtitles.ts",Les sous-titres produits (SRT) sont incrustés (burn-in) ou attachés comme piste à la vidéo composée.,"composeNode lit state.subtitles (chaîne SRT) mais ne l'utilise QUE comme booléen de métadonnée generationParams.hasSubtitles. Aucune commande ffmpeg subtitles= / -c:s n'est émise. Les 211 fichiers .srt sur disque confirment la génération, mais compose les ignore.",Promesse 'sous-titres' non tenue : la vidéo finale n'a ni incrustation ni piste de sous-titres.,compose.ts n'implémente pas le filtre subtitles ffmpeg ; le SRT n'est même pas écrit comme input.,major,broken,broken
BUG-037,publication-postiz,"src/lib/social-publishing/adapters/postiz.ts + src/lib/content-studio/postiz.ts (uploadPostizMediaFromUrl, createPostizDraft)","En mode live (SOCIAL_PUBLISHING_MODE=live), resolveDefaultAccount choisit un compte Postiz, l'adapter upload le média via POST /api/public/v1/upload (multipart), crée le post via POST /api/public/v1/posts, et extrait remoteId + permalink (releaseURL). Publication réelle sur Instagram.","Le CONTRAT de lecture est prouvé correct: GET /api/public/v1/integrations sur l'instance réelle (postiz.lumiereacademy.com) avec header 'authorization: <clé brute>' renvoie HTTP 200 + 4 comptes IG réels. Mais AUCUNE publication live n'a été exercée: SOCIAL_PUBLISHING_MODE est dry_run en staging, et la sécurité interdit de publier en live (vrais comptes clients). Donc upload multipart, POST /posts avec type/now/schedule/draft, et extraction releaseURL/permalink restent non vérifiés en conditions réelles.",Tous les tests adapters/postiz (34 verts) injectent des mocks (uploadMedia/createDraft) — ils ne touchent jamais l'API réelle. La chaîne live complète (média HTTPS public -> Postiz upload -> draft -> Instagram) n'a jamais été observée fonctionner.,Par conception sécuritaire (dry_run par défaut + comptes clients réels). Principe directeur: non vérifié dans les deux modes = cassé par défaut pour le live.,major,n/a,untested
BUG-038,publication-postiz,"src/lib/content-studio/service.ts (cancelScheduledPost L568, reschedulePost L603) + admin-service.scheduleContentPost",Annuler un post programmé annule aussi le job de publication associé; reprogrammer déplace la date du job queued.,"cancelScheduledPost et reschedulePost n'opèrent QUE sur content_post (statut/scheduledAt via cancelPost/updatePostPlanning). Ils ne touchent JAMAIS la ligne social_publish_job. Un job créé par scheduleContentPost reste 'queued' avec son ancien scheduledAt. Si le scheduler tournait (cf finding-1), il publierait un post annulé / à l'ancienne date.","Désync content_post <-> social_publish_job. Actuellement masqué car le scheduler ne tourne pas (finding-1), mais devient un bug actif dès que le scheduler est branché.",Deux sous-systèmes (planning éditorial content_post via content-studio/service vs lifecycle de job social_publish_job via social-publishing/admin-service) non synchronisés sur cancel/reschedule.,major,broken,broken
BUG-039,publication-postiz,src/lib/social-publishing/admin-service.ts:566-612 resolveDefaultAccount,"En mode live, sans accountId explicite, le système publie sur le compte client correct pour la plateforme.","En live + plusieurs comptes Postiz actifs + sans pin, resolveDefaultAccount choisit le compte Postiz le plus récemment mis à jour (desc(updatedAt)), pas un choix aléatoire. Le flux v1 (SocialPublishingPanel) impose un sélecteur de compte explicite (accountId transmis) et n'est PAS affecté; seul le flux v2 (PublishActionGroup) n'envoie aucun accountId et retomberait sur ce fallback. Exposition actuelle nulle car dry_run par défaut; redevient critique si live est activé sans pin et via l'UI v2.","Aucune désambiguïsation forcée: l'opérateur croit publier sur un compte, le système en choisit un autre. En dry_run c'est sans conséquence; en live c'est une publication sur le mauvais compte Instagram client.",Fallback 'premier compte actif' sans pin obligatoire ni sélection explicite imposée côté UI; SOCIAL_PUBLISHING_DEFAULT_ACCOUNT_ID non configuré.,major,n/a,untested
BUG-040,publication-postiz,src/app/api/admin/content-studio/posts/[id]/postiz-draft/route.ts + service.createDraftInPostiz:625,"Tous les chemins de publication respectent SOCIAL_PUBLISHING_MODE (dry_run par défaut, sécurité).","La route legacy /postiz-draft contourne effectivement le garde-fou SOCIAL_PUBLISHING_MODE=dry_run et touche l'API Postiz réelle d'un compte client, MAIS l'effet concret est la création d'un BROUILLON (type:'draft') dans la file de revue Postiz (pas une publication Instagram en ligne). Elle exige un integrationId valide fourni par l'appelant et émet des en-têtes Deprecation/Sunset + un audit social.legacy_route_used. Reste une brèche de simulation réelle à décommissionner.","Un appel à /postiz-draft (encore vivant) publie/draft réellement sur Postiz même en staging dry_run. La nouvelle UI pointe vers /draft-on-provider (sûr), mais la route legacy reste exposée et fonctionnelle.",Pipeline legacy content_postiz_delivery non encore supprimé; il précède l'abstraction adapter et ne connaît pas le mode dry_run.,major,n/a,untested
BUG-041,test-mock-infrastructure,"src/lib/content-studio/**.test.ts, src/lib/ai-engine/**.test.ts, src/lib/social-publishing/**.test.ts","Les tests 'mode live' (ex. video-generation.test.ts 'mode=live + hf-video-mini → POST /videos/generate + polling', image-generation.test.ts 'provider higgsfield') prétendent valider le chemin live Higgsfield/OpenAI.","Aucun test du perimetre n exerce DB/reseau reel; le contrat fetch Higgsfield est fictif et identique entre code et mock (endpoints synchrones inventes vs API async reelle), donc les tests live restent verts independamment de l API reelle. Le compte exact: ~5 fichiers spyOn(fetch) en perimetre strict, ~42 dans tout src (pas 58). Un contract test MSW/Zod existe pour les routes content-studio mais pas pour les providers externes.","Les tests verrouillent un contrat fictif (endpoints synchrones inventés) identique entre code et mock, donc ils restent verts même si l'API réelle est totalement différente. Ils ne testent pas le point de vue opérateur (effet réseau réel) — ils testent que le mock répond au mock.","Absence de couche de validation de contrat (contract tests / MSW handlers calqués sur l'OpenAPI réel) et absence de tout test d'intégration réseau. Les commentaires du code l'admettent (video-generation.ts:153-155 'TODO(higgsfield): l'API réelle utilise /v1/image2video/<model>... à réécrire'). Les tests ont été écrits AUTOUR du code faux, pas autour de la spec fournisseur.",major,works,broken
BUG-042,test-mock-infrastructure,"e2e/content-studio-social-publishing-draft.spec.ts (lignes 207, 227)",Le spec 'envoie un post en brouillon Postiz' est censé valider de bout en bout le flux brouillon dry-run + l'émission d'un audit event en DB.,"Le spec E2E draft Postiz reference 'audit_event' (singulier) aux l.206/227 alors que la table reelle est 'audit_events' (pluriel, schema.ts:268) — le test echoue au cleanup contre la vraie DB et n a jamais pu passer. C est un bug du test, pas de l app: l audit applicatif vise la bonne table.","Un test E2E 'parcours opérateur réel' référence un nom de table qui n'existe pas, donc il a toujours été cassé contre le réel — il ne pouvait passer que si jamais exécuté avec DB, ou compté comme vert par erreur ailleurs. L'assertion d'audit (l.205-209) est aussi sur 'audit_event'.","Nom de table erroné codé en dur dans le spec (singulier vs pluriel), jamais vérifié contre le schéma Drizzle réel. Indique que ces E2E DB ne tournent pas en CI standard (sinon rouge permanent).",major,broken,untested
BUG-043,test-mock-infrastructure,src/app/api/admin/content-studio/models/route.ts + src/lib/ai-engine/services/model-discovery.ts (cache) + api-key-manager.ts,"source:'live' devrait signifier qu'une clé valide existe et que le fournisseur confirme le modèle, donc qu'il est utilisable.","Desync UI<->generation reel mais cause differente: discovery resout une cle VALIDE (OPENAI_API_KEY, len 164) via api-key-manager.resolveEnvKey et marque les modeles 'live' a juste titre; le bug est que image-generation.ts lit une autre variable (env.CONTENT_STUDIO_OPENAI_API_KEY, vide) et throw invalid_state. Ce n est PAS un cache perime masquant l absence de cle — c est un split de variables d env entre discovery et generation. whisper-1 (STT) mal classe role=chat est confirme (probe). ai_engine_api_keys absente en DB confirme (to_regclass NULL) mais sans impact ici car la cle vient de l env.","L'UI affiche 'Live' pour des modèles qui throw à l'usage. Pire desync: model-discovery résout la clé via resolveApiKey (DB→env) tandis que image-generation.ts lit env.CONTENT_STUDIO_OPENAI_API_KEY directement (l.87,98,111) → même si discovery dit live, la génération live throw 'invalid_state: CONTENT_STUDIO_OPENAI_API_KEY manquant'. Deux chemins de résolution de clé incohérents.","(1) Cache discovery in-process sans invalidation au changement de clé, et le label UI ne distingue pas 'cache' de 'live confirmé'. (2) whisper-1 (STT) classé role=chat (route renvoie whisper-1 en role=chat). (3) Source de clé divergente entre discovery (resolveApiKey DB/env) et génération (env brut).",major,n/a,broken
BUG-045,test-mock-infrastructure,src/lib/social-publishing/adapters/dry-run.ts + src/test/fixtures/social-publishing/index.ts,"Le mode dry_run (défaut, SOCIAL_PUBLISHING_MODE non défini) simule la publication ; les tests dry-run sont censés représenter le comportement Postiz.","DryRunSocialPublishingAdapter renvoie des permalinks 'https://social.example.test/<platform>/draft/<remoteId>' et un remoteId déterministe (sha256), shapes qui n'existent pas chez Postiz. Les fixtures postiz* (postizPostsNowSuccess.status='SENT', permalink instagram.com/p/abc123) sont écrites à la main, jamais validées contre la vraie réponse Postiz. Aucun test ne confronte dry-run vs PostizSocialPublishingAdapter (parité).",Les tests valident que le dry-run renvoie ce que le dry-run renvoie ; ils ne garantissent pas que la bascule live (Postiz) produira un comportement compatible. Le passage dry_run→live n'a aucun filet de parité.,"Pas de contract test Postiz ; fixtures inventées. La sécurité interdit (à raison) de publier en live, mais aucune doublure fidèle (MSW calqué sur l'OpenAPI Postiz) ne comble le vide.",major,works,untested
BUG-046,test-mock-infrastructure,apps/web/vitest.setup.ts + src/test/msw/* (handlers ad-hoc),"Une couche MSW devrait intercepter les appels réseau de façon fidèle et partagée pour tous les tests, garantissant que les doublures suivent le contrat fournisseur.","vitest.setup.ts ne monte pas de setupServer MSW global et stube next/navigation+next/font globalement; le coverage exclut src/lib/ai-engine. Cependant un serveur MSW (src/test/msw/server.ts) et un contract test Zon<->routes (content-studio-handlers.contract.test.ts) existent et sont utilises ponctuellement: il y a un filet de parite partiel pour les routes internes, mais pas global ni etendu aux providers externes (OpenAI/Higgsfield/Postiz).","Pas de garantie de parité : chaque test choisit (ou non) un handler MSW, beaucoup mockent fetch directement (58 fichiers). Le routing étant stubé, les assertions UI ne reflètent pas la navigation réelle (assert UI sans effet). Le coverage n'instrumente pas les 16 nœuds AI-Engine.",Architecture de test sans serveur MSW central ni politique 'tout réseau passe par MSW' ; mocks globaux dans setup choisis pour faire passer les tests RTL plutôt que pour la fidélité. Coverage volontairement scopé (commentaire vitest.config.ts:19-31).,major,partial,n/a
BUG-047,test-mock-infrastructure,src/lib/ai-engine/nodes/* (16 nœuds) vs src/lib/content-studio/* + bridge/content-studio-bridge.ts,Le pipeline complet (script→caption→variants→images→video→voiceover→music→subtitles→compose→transcode→moderate→quality→human-review) est testé et accessible à l'opérateur.,"Le parcours opérateur réel (/admin/content-studio-v2/create, prouvé par les E2E qui passent: golden-path, media-kind-toggle) n'appelle que (B) content-studio (ideas→generate→drafts→review→generate-visual→publish). Les nœuds voiceover/music/subtitles/compose de (A) ont des tests unitaires verts isolés (ex. human-review.test.ts dans le log) mais ne sont pas exercés par un parcours opérateur E2E. Le coverage AI-Engine n'est même pas instrumenté (cf finding-8).","Des dizaines de tests verts sur (A) donnent l'illusion d'un pipeline média complet, alors que l'opérateur sur (B) n'atteint jamais voix-off/musique/sous-titres/compose. Tests verts ≠ fonctionnalité atteignable.",Deux systèmes parallèles ; les tests unitaires de (A) passent en isolation (mocks de nœuds) mais aucun test ne prouve que (B) route vers (A) via le bridge pour ces étapes. Pas de test E2E couvrant compose/voiceover depuis l'UI create.,major,partial,untested
BUG-048,voix-off,"src/lib/content-studio/* , src/components/admin/content-studio-v2/create/* , src/app/api/admin/content-studio/drafts/[id]/generate-visual/route.ts",L'opérateur sur /create génère du contenu; le pont content-studio-bridge.ts est censé connecter le graphe AI-Engine (avec audio) au flux create.,"Confirme avec correction mineure d'evidence: le bridge est importe par 3 routes AI-Engine (generate, generate-stream, jobs/[id]/review), pas une seule. Aucune n'est le parcours operateur /create.","La voix-off/musique/sous-titres sont réservées au graphe AI-Engine, accessibles seulement via la page séparée /ai-engine/create, jamais via le flux create principal de l'opérateur. Deux systèmes parallèles non connectés sur ce périmètre.","Le pont est unidirectionnel et déclenché par l'AI-Engine, pas par le create flow; le create flow fait sa propre génération texte (generation.ts, OpenAI/fallback) sans média audio.",major,n/a,n/a
BUG-049,voix-off,"src/lib/ai-engine/config/engine-config.ts, .env, src/lib/ai-engine/nodes/generate-voiceover.ts","Voix-off live via OpenAI tts-1 (generateOpenAITTS) ou ElevenLabs (generateElevenLabsTTS), sélection par AI_ENGINE_DEFAULT_TTS_PROVIDER.",Confirme. Branche TTS live jamais atteinte (provider=mock). Seul OpenAI tts-1 disponible si bascule du provider; ElevenLabs indisponible (cle absente). Non teste live -> casse par defaut.,La voix-off live n'est ni activée (provider=mock) ni complètement provisionnée (ElevenLabs absent). Non vérifiable en live -> cassée par défaut.,Config staging volontairement en mock + clé ElevenLabs non fournie. La sélection TTS exige provider 'openai' ET clé openai pour appeler OpenAI; condition non remplie car provider='mock'.,major,n/a,broken
BUG-050,voix-off,src/lib/ai-engine/nodes/generate-music.ts,La 'génération de musique' suggère une vraie piste musicale adaptée au mood (musicMood) du script.,"Confirme. 'Musique' = stub silencieux non cable a aucun provider, et meme ce silence echoue (lavfi). Aucune capacite musique dans EngineConfig.","La 'musique' est purement décorative: au mieux du silence, en pratique rien (lavfi échoue). Aucune voie live n'existe, même future.",Fonctionnalité non implémentée au-delà d'un stub silencieux; pas de provider audio musical câblé dans la config (EngineConfig n'a pas de providers.music).,major,broken,n/a
BUG-051,copywriting,src/lib/content-studio/service.ts:153 assertTransition + ideas/[id]/generate/route.ts,"Re-cliquer 'Générer' sur une idée déjà générée doit soit régénérer, soit renvoyer une erreur claire 409/422 'déjà générée'.","Re-generer une idee deja 'generated' renvoie bien HTTP 500 opaque, mais NON a cause de assertTransition (qui jette un HttpError invalid_state correctement mappe en 409). Le 500 provient d'une exception non-HttpError levee plus tot dans generateIdeaDrafts (avant insertGenerationRun: aucun nouveau generation_run n'est cree). La sous-claim 'drafts/brief partiels crees avant le throw' n'est pas demontree pour les runs (0 nouveau run); l'ecriture partielle eventuelle de brief/drafts reste a verifier mais le run n'est pas insere.","Erreur serveur opaque au lieu d'un message métier; l'opérateur ne comprend pas pourquoi 'Générer' échoue. De plus, des drafts/brief partiels ont pu être créés avant le throw (pas de transaction) selon l'ordre d'exécution.","generateIdeaDrafts:153 `assertTransition(idea.status, 'generated')` lève une erreur générique pour la transition generated->generated; le handler ne la reconnaît pas comme HttpError.",minor,broken,broken
BUG-052,copywriting,parse-brief.ts:8 (enum AI-Engine) vs types.ts CONTENT_OBJECTIVES; generation.ts:149/156/204 (label/proof/cta),Une idée opérateur peut transiter dans l'un ou l'autre moteur sans perte; le texte fallback est grammaticalement correct quel que soit le pilier.,"AI-Engine parse-brief.ts:8 attend objective dans {awareness,engagement,conversion,education,entertainment}; Content-Studio utilise {notoriete,consideration,conversion,reassurance,fidelisation}. Une idée opérateur (objective='consideration') passée à parseBriefNode jetterait ZodError. Côté fallback generation.ts: label('produit') renvoie 'produit' inséré tel quel -> 'Relier produit à un geste simple' (français bancal); proof spécial-casé seulement pour 'produit'; cta='Découvrir le rituel' seulement si objective==='conversion' sinon 'Lire la suite'.","Risque de crash si un jour le parcours opérateur est branché sur l'AI-Engine sans mapping inverse. Qualité rédactionnelle du fallback dégradée (enum brut dans la phrase, pas de variation par pilier autre que 'produit').","Deux taxonomies définies indépendamment; le bridge ne mappe que A->B. label() (generation.ts:204) ne fait qu'un replace de tirets, sans table de libellés humains.",minor,partial,broken
BUG-053,create-ui-flow,generate-visual mock path + MediaStudio adaptation (json.media.previewUrl ?? originalUrl),Le media genere expose une URL d'image pleine resolution exploitable pour previsualisation et publication.,La generation mock renvoie originalUrl:null et previewUrl='/_media/media/<id>/avif/sm.avif' (thumbnail small AVIF). MediaStudio adapte previewUrl = json.media.previewUrl ?? originalUrl => le PreviewPane et le ConfirmPreview affichent une vignette AVIF basse-def. Pas bloquant en mock mais l'apercu de publication n'est pas la pleine resolution.,Le pipeline mock ne produit/expose pas d'original; le rendu d'apercu se rabat sur le thumbnail sm.,Service mock genere uniquement les derivees optimisees (avif sm); originalUrl reste null. MediaStudio.tsx:127 previewUrl = thumbUrl ?? originalUrl ?? '' privilegie le thumbnail.,minor,partial,untested
BUG-054,create-ui-flow,ApproveButton.tsx + errors/messages.ts formatError + service.ts approve,L'erreur d'approbation sans media affiche un message actionnable ('Attachez un visuel' ou le message serveur precis).,"Identique en substance, mais (a) fichier réel = src/lib/content-studio-v2/errors/messages.ts (lignes 19 et 40-41), pas 'errors/messages.ts'; (b) le bouton Approve étant disabled sans média, ce chemin n'est atteignable que si l'UI est contournée (appel API direct), ce qui réduit l'impact pratique.",Le mapping de codes ecrase le message contextualise du serveur. De plus le code documente dans G01/ERROR_MESSAGES est 'no_media_attached' mais le serveur renvoie 'invalid_state' -> le mapping cible le mauvais code.,"errors/messages.ts:39-41 retourne le mapped AVANT de considerer e.message. Le serveur (service.ts) utilise invalid_state pour l'absence de media, pas no_media_attached.",minor,works,works
BUG-055,create-ui-flow,MediaStudio.tsx (label bouton ligne 240) + e2e/content-studio-v2/create-mock-video.spec.ts:28,Le parcours reel video (reel -> video gen -> MP4 lisible) est valide par un E2E vert.,"Le test timeout 30s a la ligne 28 car getByRole('button',{name:/Générer un visuel IA/i}).click() ne matche jamais: en mode video (defaut pour reel) le bouton affiche 'Générer une vidéo IA' (MediaStudio.tsx:240 ternaire kind==='video'). Le chemin reel fonctionne pourtant cote API+asset (probe mock video => kind=video durationMs=5000 previewUrl=/_media/content-studio/mock/reel-9x16.mp4; asset sert en 200 video/mp4 62KB).",Le libelle dynamique du bouton (visuel/vidéo) n'est pas couvert par le selecteur du test; le parcours video n'a donc pas de couverture E2E verte malgre un backend fonctionnel.,MediaStudio.tsx:240 {kind === 'video' ? 'Générer une vidéo IA' : 'Générer un visuel IA'}; le test cible un seul libelle.,minor,works,n/a
BUG-056,generation-image,src/lib/content-studio/image-generation.ts (routing step 1) + service.ts insertGenerationRun,Le modele choisi par l'operateur est enregistre dans le generation_run pour audit/cout.,"En mode mock (defaut), step 1 court-circuite vers generateMockStudioImage qui force model='mock-low-cost-image' et provider='mock' AVANT toute prise en compte du modele selectionne. Le run enregistre 'mock-low-cost-image', pas 'gpt-image-1-mini' choisi par l'operateur.",Le choix de modele de l'operateur est invisible/non audite en mode mock; impossible de simuler le cout du vrai modele.,Routing par MODE prioritaire sur MODELE (image-generation.ts:61). Le mock n'embarque pas le modele 'intentionnel' dans usage/model.,minor,works,n/a
BUG-057,generation-image,registry.ts pricing.perCall vs service.ts visualCostEstimate vs image-generation.ts estimateOpenAiImageCostCents,Le cout estime affiche (budget) correspond au cout reellement debite et au pricing du modele.,"Trois baremes divergents: registry pricing perCall (gpt-image-1-mini=0.4c, gpt-image-1=8c, hf-flux-pro=5.5c) ; service.checkDailyBudget utilise visualCostEstimate fonction de quality (low=2,medium=4,high=8) sans tenir compte du modele ; image-generation.estimateOpenAiImageCostCents renvoie encore d'autres valeurs (gpt-image-1-mini high=4,medium=2,low=1 ; sinon high=22,medium=6,low=1). Higgsfield cents fixes (HIGGSFIELD_IMAGE_PRICING_CENTS: schnell=30,flux-1=250,flux-pro=550) != registry (x100 d'ecart d'unite apparent).","Budget pre-check, cout enregistre et prix affiche dans le picker ne concordent pas; risque de mauvaise estimation/affichage.","Trois constantes de pricing non centralisees, unites incoherentes (cents vs cents/appel) entre registry et image-generation.",minor,partial,untested
BUG-058,montage-composition,src/lib/ai-engine/nodes/transcode-export.ts,"L'export respecte les specs plateforme (codec, taille max ex. 250 Mo reels / 30 Mo post) ; au-delà, re-compression ou rejet.","lookupSpec() retourne maxFileSizeMb et codec, mais maxFileSizeMb n'est JAMAIS comparé à la taille de sortie et spec.codec est ignoré (libx264 codé en dur). Le générationParams écrit 'codec: h264' en littéral, indépendamment de la spec.",Un export peut dépasser silencieusement la limite Instagram (échec de publication ultérieur non détecté) ; les formats exigeant un codec différent ne sont pas honorés.,"Validation de spec implémentée à moitié : lookup présent, enforcement absent.",minor,partial,untested
BUG-059,montage-composition,src/lib/ai-engine/nodes/compose.ts,Le mux voix-off/musique sur la vidéo produit un MP4 lisible quel que soit le codec source de la vidéo.,"Quand il y a de l'audio (voiceover/music), compose émet -c:v copy -c:a aac. Si la vidéo source n'est pas déjà H.264/format compatible MP4+faststart, le copy peut produire un fichier illisible ou ffmpeg échoue. Le chemin est non testé en réel (sharp/ffmpeg mockés).",Robustesse du mux dépendante du codec source ; aucun re-encode vidéo de sécurité. Non vérifié avec ffmpeg réel.,"Optimisation -c:v copy sans garantie sur le codec d'entrée (les vidéos viennent de generate-video, codec non normalisé en amont).",minor,untested,untested
