key,namespace,source_file,source_line,current_fr_value,context,category,priority,extraction_status,notes
marketing.kit.faq.retours.answer,marketing,src/data/mock/kit.ts,250,"Oui, sous trente jours, même entamé. Vous nous écrivez deux lignes à info@femiglow-maroc.com, nous reprenons le pack. Remboursement sous cinq jours ouvrés.",faq answer retours,mock-data,P1,pending,
marketing.kit.faq.allergies.question,marketing,src/data/mock/kit.ts,254,Et si je suis allergique à un ingrédient ?,faq question allergies,mock-data,P1,pending,
marketing.kit.faq.allergies.answer,marketing,src/data/mock/kit.ts,256,"Chaque formule liste son INCI complet sur cette page et sur l’étiquette du pot. En cas de doute, nous vous adressons un échantillon avant l’envoi du pack complet.",faq answer allergies,mock-data,P1,pending,
marketing.kit.faq.adolescentes.question,marketing,src/data/mock/kit.ts,260,Le rituel est-il adapté aux adolescentes ?,faq question ados,mock-data,P1,pending,
marketing.kit.faq.adolescentes.answer,marketing,src/data/mock/kit.ts,262,"Oui, à partir de quatorze ans. Les formules sont douces, les gestes simples. C’est souvent un premier rendez-vous avec le soin lent.",faq answer ados,mock-data,P1,pending,
marketing.kit.hands_testimonials.amal.quote,marketing,src/data/mock/kit.ts,271,"Trois mois, et l’ongle a retrouvé sa nervure. J’ai cessé de le forcer.",hands testimonial quote,mock-data,P1,pending,
marketing.kit.hands_testimonials.amal.first_name,marketing,src/data/mock/kit.ts,268,Amal,hands testimonial first name,mock-data,P1,pending,
marketing.kit.hands_testimonials.amal.city,marketing,src/data/mock/kit.ts,269,Rabat,hands testimonial city,mock-data,P1,pending,
marketing.kit.hands_testimonials.amal.initiee_depuis,marketing,src/data/mock/kit.ts,284,Février 2026,since label,mock-data,P2,pending,
marketing.kit.hands_testimonials.lina.quote,marketing,src/data/mock/kit.ts,291,"Cinq minutes le soir, c’est devenu un signal de fin de journée.",hands testimonial quote,mock-data,P1,pending,
marketing.kit.hands_testimonials.lina.first_name,marketing,src/data/mock/kit.ts,288,Lina,first name,mock-data,P1,pending,
marketing.kit.hands_testimonials.lina.city,marketing,src/data/mock/kit.ts,289,Casablanca,city,mock-data,P1,pending,
marketing.kit.hands_testimonials.sara.quote,marketing,src/data/mock/kit.ts,311,Je ne reviendrai pas au vernis. La main suffit à elle-même.,hands testimonial quote,mock-data,P1,pending,
marketing.kit.hands_testimonials.sara.first_name,marketing,src/data/mock/kit.ts,308,Sara,first name,mock-data,P1,pending,
marketing.kit.hands_testimonials.sara.city,marketing,src/data/mock/kit.ts,309,Marrakech,city,mock-data,P1,pending,
marketing.kit.reassurances.shipping.label,marketing,src/data/mock/kit.ts,330,Livraison offerte,reassurance label shipping,mock-data,P0,pending,
marketing.kit.reassurances.shipping.detail,marketing,src/data/mock/kit.ts,331,Rabat 24 h — Maroc 48 à 72 h,reassurance detail shipping,mock-data,P0,pending,
marketing.kit.reassurances.return.label,marketing,src/data/mock/kit.ts,333,Retour 30 jours,reassurance label return,mock-data,P0,pending,
marketing.kit.reassurances.return.detail,marketing,src/data/mock/kit.ts,333,Même entamé,reassurance detail return,mock-data,P0,pending,
marketing.kit.reassurances.payment.label,marketing,src/data/mock/kit.ts,336,Paiement à la livraison,reassurance label payment,mock-data,P0,pending,
marketing.kit.reassurances.payment.detail,marketing,src/data/mock/kit.ts,337,Vérifiez avant de payer,reassurance detail payment,mock-data,P0,pending,
marketing.kit.composition.section.kicker,marketing,src/components/sections/CompositionReveal.tsx,45,La composition,composition section kicker,ui-static,P0,pending,
marketing.kit.composition.section.title,marketing,src/components/sections/CompositionReveal.tsx,47,"Trois objets, trois gestes.",composition section title,ui-static,P0,pending,
marketing.kit.composition.section.description,marketing,src/components/sections/CompositionReveal.tsx,49,"Le kit tient dans une main. Chaque pièce a sa place dans le geste, sa place sur la table de chevet, sa place dans la saison.",composition section body,ui-static,P0,pending,
marketing.kit.ingredients.section.kicker,marketing,src/components/sections/IngredientsDetails.tsx,42,Le détail,ingredients section kicker,ui-static,P1,pending,
marketing.kit.ingredients.section.title,marketing,src/components/sections/IngredientsDetails.tsx,43,La composition lue ligne par ligne.,ingredients section title,ui-static,P1,pending,
marketing.kit.ingredients.section.description,marketing,src/components/sections/IngredientsDetails.tsx,46,"Tout est dit : noms d’usage, INCI, fonction, origine, concentration. Pas d’angle mort, pas de promesse cachée derrière une formule.",ingredients section body,ui-static,P1,pending,
marketing.kit.comparatif.kicker,marketing,src/components/sections/ComparatifSection.tsx,26,Comparatif,comparatif section kicker,ui-static,P0,pending,
marketing.kit.comparatif.title,marketing,src/components/sections/ComparatifSection.tsx,28,Vernis classique et rituel FemiGlow.,comparatif section title,ui-static,P0,pending,
marketing.kit.comparatif.description,marketing,src/components/sections/ComparatifSection.tsx,30,"Sans dénigrer, deux approches différentes. À chacune sa place dans une vie, à chacune ses contraintes. Lisez à voix haute : chaque ligne se tient.",comparatif section body,ui-static,P1,pending,
marketing.kit.faq.section.kicker,marketing,src/components/sections/FAQContextuelle.tsx,21,Questions,faq section kicker,ui-static,P1,pending,
marketing.kit.faq.section.title,marketing,src/components/sections/FAQContextuelle.tsx,23,Les questions qu’on nous pose.,faq section title,ui-static,P1,pending,
marketing.kit.faq.section.description,marketing,src/components/sections/FAQContextuelle.tsx,25,"Les réponses sont courtes, précises, vérifiables. Si une question manque, écrivez-nous : nous l’ajouterons.",faq section description,ui-static,P1,pending,
marketing.kit.hands.kicker,marketing,src/components/sections/HandsTestimonials.tsx,28,Trois mains,hands testimonials kicker,ui-static,P1,pending,
marketing.kit.hands.title,marketing,src/components/sections/HandsTestimonials.tsx,30,"Trois mains, trois saisons.",hands testimonials title,ui-static,P1,pending,
marketing.kit.hands.description,marketing,src/components/sections/HandsTestimonials.tsx,33,"Photos non retouchées, prises chez nos initiées au bout de plusieurs mois de rituel. La plaque retrouve sa nervure, sans recette miracle.",hands testimonials body,ui-static,P1,pending,
marketing.kit.hero.kicker,marketing,src/components/sections/HeroProduit.tsx,107,Le rituel,kit hero kicker,ui-static,P0,pending,
marketing.kit.hero.savings,marketing,src/components/sections/HeroProduit.tsx,144,Économie {savings} MAD,kit hero savings micro,ui-static,P0,pending,interpolation savings amount
marketing.kit.hero.cta_commander,marketing,src/components/sections/HeroProduit.tsx,168,Commander le rituel,kit hero cta,ui-static,P0,pending,"apparait 2x: HeroProduit (anchor) + HeroProduit (cart-redirect)"
marketing.kit.commander.kicker_default,marketing,src/components/sections/KitCommanderSection.tsx,82,Commander le rituel,wizard section kicker,ui-static,P0,pending,scope wizard - HORS audit (CHA-231)
marketing.kit.commander.title_default,marketing,src/components/sections/KitCommanderSection.tsx,83,"Trois gestes, livrés chez vous.",wizard section title,ui-static,P0,pending,HORS audit
marketing.kit.commander.subtitle_default,marketing,src/components/sections/KitCommanderSection.tsx,84,"Quelques coordonnées, une adresse au Maroc, et nous nous occupons du reste. Livraison gratuite en 24-48 heures.",wizard section subtitle,ui-static,P0,pending,HORS audit
marketing.kit.pivot_final.kicker,marketing,src/components/sections/PivotFinal.tsx,22,Le geste,pivot final kicker,ui-static,P1,pending,
marketing.kit.pivot_final.title,marketing,src/components/sections/PivotFinal.tsx,24,Posez le geste.,pivot final title,ui-static,P1,pending,
marketing.kit.pivot_final.body,marketing,src/components/sections/PivotFinal.tsx,27,"Le rituel commence quand vous le décidez. Cinq minutes le soir, une saison, et la plaque retrouve sa cadence.",pivot final body,ui-static,P1,pending,
marketing.kit.pivot_final.cta_secondary,marketing,src/components/sections/PivotFinal.tsx,36,Lire encore,pivot final secondary cta,ui-static,P1,pending,
marketing.kit.product_feed.hero.kicker,marketing,src/lib/products/feed/kit-feed.ts,306,Le pack,product feed hero kicker,ui-static,P0,pending,
marketing.kit.product_feed.hero.title,marketing,src/lib/products/feed/kit-feed.ts,308,Le rituel s’installe en deux gestes et un polissoir.,product feed hero title,ui-static,P0,pending,
marketing.kit.product_feed.hero.lead,marketing,src/lib/products/feed/kit-feed.ts,310,"Trois objets dans la main, deux gestes dans la soirée. La paste filme, la powder lustre, le polissoir Step 4 révèle — manucure japonaise, pensée à Rabat.",product feed lead,ui-static,P0,pending,
marketing.kit.product_feed.hero.price_prefix,marketing,src/lib/products/feed/kit-feed.ts,311,Tout compris :,price prefix,ui-static,P0,pending,
marketing.kit.product_feed.hero.cta_label,marketing,src/lib/products/feed/kit-feed.ts,312,Commander le rituel,product feed cta,ui-static,P0,pending,
marketing.kit.product_feed.hero.cta_microcopy,marketing,src/lib/products/feed/kit-feed.ts,315,Paste · Powder · Polissoir Step 4 inclus · Livraison offerte au Maroc · Paiement à la livraison · Retour 30 j.,product feed microcopy,ui-static,P0,pending,
marketing.kit.product_feed.compare_at_aria,marketing,src/lib/products/feed/kit-feed.ts,317,Prix non packagé {price},compare at aria,ui-static,P1,pending,interpolation
marketing.kit.product_feed.value.paste,marketing,src/lib/products/feed/kit-feed.ts,294,1 Paste · 30 ml,value item paste,ui-static,P1,pending,note: schema dit 15g sur kit.ts L24 - drift à vérifier
marketing.kit.product_feed.value.powder,marketing,src/lib/products/feed/kit-feed.ts,294,2 Powder · 30 g,value item powder,ui-static,P1,pending,note: schema dit 8g - drift
marketing.kit.product_feed.value.polissoir,marketing,src/lib/products/feed/kit-feed.ts,295,Polissoir 4 zones,value item polissoir,ui-static,P1,pending,
marketing.kit.product_feed.value.notice,marketing,src/lib/products/feed/kit-feed.ts,296,Notice rituel + carte,value item notice,ui-static,P1,pending,
marketing.kit.product_feed.value.notice_offert,marketing,src/lib/products/feed/kit-feed.ts,296,offert,value muted,ui-static,P1,pending,
marketing.kit.product_feed.value.livraison,marketing,src/lib/products/feed/kit-feed.ts,297,Livraison au Maroc,value item livraison,ui-static,P1,pending,
marketing.kit.product_feed.steps.header.kicker,marketing,src/lib/products/feed/kit-feed.ts,172,EN TOUT,steps header kicker,ui-static,P0,pending,EN MAJUSCULES - normaliser ou conserver per CMS
marketing.kit.product_feed.steps.header.total_duration,marketing,src/lib/products/feed/kit-feed.ts,173,5 minutes le soir,steps header total,ui-static,P0,pending,
marketing.kit.product_feed.steps.header.lead,marketing,src/lib/products/feed/kit-feed.ts,174,"Quatre gestes lents, une fois par semaine.",steps header lead,ui-static,P0,pending,"NOTE drift: 'une fois par semaine' vs '5 minutes le soir' (homepage) — incohérence éditoriale à valider"
marketing.kit.product_feed.steps.post_cta.label,marketing,src/lib/products/feed/kit-feed.ts,184,Démarrer le rituel,steps post cta,ui-static,P0,pending,
marketing.kit.product_feed.steps.preparation.kicker,marketing,src/lib/products/feed/kit-feed.ts,122,Préparation,step 1 kicker,ui-static,P0,pending,
marketing.kit.product_feed.steps.preparation.title,marketing,src/lib/products/feed/kit-feed.ts,123,Préparez vos ongles,step 1 title,ui-static,P0,pending,
marketing.kit.product_feed.steps.preparation.description,marketing,src/lib/products/feed/kit-feed.ts,126,"On nettoie, on sèche, on lime légèrement — la plaque s’ouvre au soin.",step 1 description,ui-static,P0,pending,
marketing.kit.product_feed.steps.preparation.duration,marketing,src/lib/products/feed/kit-feed.ts,129,30 s,step 1 duration,ui-static,P0,pending,
marketing.kit.product_feed.steps.paste.kicker,marketing,src/lib/products/feed/kit-feed.ts,133,Geste 1,step 2 kicker,ui-static,P0,pending,
marketing.kit.product_feed.steps.paste.title,marketing,src/lib/products/feed/kit-feed.ts,134,Appliquez la paste,step 2 title,ui-static,P0,pending,
marketing.kit.product_feed.steps.paste.description,marketing,src/lib/products/feed/kit-feed.ts,136,"Une noisette de paste vert sauge, le polissoir glisse, la cire entre dans la kératine.",step 2 description,ui-static,P0,pending,
marketing.kit.product_feed.steps.paste.duration,marketing,src/lib/products/feed/kit-feed.ts,138,1 min,step 2 duration,ui-static,P0,pending,
marketing.kit.product_feed.steps.powder.kicker,marketing,src/lib/products/feed/kit-feed.ts,143,Geste 2,step 3 kicker,ui-static,P0,pending,
marketing.kit.product_feed.steps.powder.title,marketing,src/lib/products/feed/kit-feed.ts,144,Appliquez la powder,step 3 title,ui-static,P0,pending,
marketing.kit.product_feed.steps.powder.description,marketing,src/lib/products/feed/kit-feed.ts,146,"On dépose la powder rose poudré, on lustre lentement, la lumière revient à la surface.",step 3 description,ui-static,P0,pending,
marketing.kit.product_feed.steps.powder.duration,marketing,src/lib/products/feed/kit-feed.ts,148,2 min,step 3 duration,ui-static,P0,pending,
marketing.kit.product_feed.steps.step4.kicker,marketing,src/lib/products/feed/kit-feed.ts,153,Polissoir Step 4,step 4 kicker,ui-static,P0,pending,
marketing.kit.product_feed.steps.step4.title,marketing,src/lib/products/feed/kit-feed.ts,154,Polish & Shine,step 4 title,ui-static,P0,pending,
marketing.kit.product_feed.steps.step4.description,marketing,src/lib/products/feed/kit-feed.ts,157,"On finit au polissoir bleu ciel — l’ongle devient miroir, sans vernis, sans abrasion.",step 4 description,ui-static,P0,pending,
marketing.kit.product_feed.steps.step4.duration,marketing,src/lib/products/feed/kit-feed.ts,159,1 min,step 4 duration,ui-static,P0,pending,
marketing.kit.product_feed.steps.step4.badge_result,marketing,src/components/sections/StepCard.tsx,74,Résultat,step 4 badge,ui-static,P0,pending,
marketing.kit.product_feed.claims.naturel.label,marketing,src/lib/products/feed/kit-feed.ts,197,Ingrédients d’origine naturelle,claim label,ui-static,P0,pending,
marketing.kit.product_feed.claims.naturel.detail,marketing,src/lib/products/feed/kit-feed.ts,198,"Cire d’abeille, jojoba, kaolin, poudre de riz — manucure japonaise.",claim detail,ui-static,P0,pending,
marketing.kit.product_feed.claims.agressif.label,marketing,src/lib/products/feed/kit-feed.ts,202,Sans produits chimiques agressifs,claim label,ui-static,P0,pending,
marketing.kit.product_feed.claims.agressif.detail,marketing,src/lib/products/feed/kit-feed.ts,203,"Ni acétone, ni phtalates, ni toluene — la plaque respire.",claim detail,ui-static,P0,pending,
marketing.kit.product_feed.claims.eclatants.label,marketing,src/lib/products/feed/kit-feed.ts,207,Pour des ongles forts et éclatants,claim label,ui-static,P0,pending,
marketing.kit.product_feed.claims.eclatants.detail,marketing,src/lib/products/feed/kit-feed.ts,208,Kératine renforcée brillance lustrée au polissoir Step 4.,claim detail,ui-static,P0,pending,
marketing.kit.product_feed.social_proof.count_label_geo,marketing,src/lib/products/feed/kit-feed.ts,243,{count} maisons en France,social proof geo label,ui-static,P1,pending,interpolation count - 'maisons en France' alors qu'on est au Maroc — drift à corriger
marketing.kit.product_feed.social_proof.fallback_quote,marketing,src/lib/products/feed/kit-feed.ts,232,"Cinq minutes le soir, c’est devenu un signal de fin de journée.",social proof fallback,ui-static,P2,pending,
marketing.kit.product_feed.social_proof.fallback_author,marketing,src/lib/products/feed/kit-feed.ts,233,"Lina, Rabat",social proof fallback author,ui-static,P2,pending,
marketing.kit.pack_image_alt,marketing,src/components/sections/ProductFeedSection.tsx,87,"Kit FemiGlow — paste, powder et polissoir Step 4, posés sur fond crème",pack visual alt,ui-static,P2,pending,
marketing.kit.pack_visual.label_promesses,marketing,src/components/sections/ProductFeedSection.tsx,102,Promesses produit,promises section aria,ui-static,P2,pending,
marketing.kit.pack_visual.label_avis_clientes,marketing,src/components/sections/ProductFeedSection.tsx,112,Avis clientes,reviews aria label,ui-static,P2,pending,
marketing.maison.metadata.title,seo,src/app/(marketing)/maison/page.tsx,26,La maison — Rabat,maison page title,seo-meta,P0,pending,
marketing.maison.metadata.description,seo,src/app/(marketing)/maison/page.tsx,28,"FemiGlow, maison de soin pour les ongles éditée à Rabat par notre fondatrice, biologiste et formulatrice. L’origine, l’atelier au 25 bis avenue Patrice Lumumba, les matières, les engagements halal et locaux.",maison page description,seo-meta,P0,pending,
marketing.maison.metadata.og_title,seo,src/app/(marketing)/maison/page.tsx,32,La maison FemiGlow — Rabat,maison og title,seo-meta,P1,pending,
marketing.maison.metadata.og_description,seo,src/app/(marketing)/maison/page.tsx,34,"Maison de soin pour les ongles, éditée à Rabat. Manucure japonaise halal.",maison og description,seo-meta,P1,pending,
marketing.maison.metadata.og_alt,seo,src/app/(marketing)/maison/page.tsx,20,FemiGlow — La maison,maison og alt,seo-meta,P2,pending,
marketing.maison.hero.kicker,marketing,src/data/mock/maison.ts,11,La maison,maison hero kicker,mock-data,P0,pending,
marketing.maison.hero.title,marketing,src/data/mock/maison.ts,12,La maison d’éclat.,maison hero title,mock-data,P0,pending,
marketing.maison.hero.subtitle,marketing,src/data/mock/maison.ts,13,"Une maison de soin pour les ongles, éditée à Rabat. Lente, attentive, située au 25 bis avenue Patrice Lumumba.",maison hero subtitle,mock-data,P0,pending,
marketing.maison.hero.cta_label,marketing,src/data/mock/maison.ts,17,Découvrir l’atelier →,maison hero cta,mock-data,P0,pending,
marketing.maison.origine.kicker,marketing,src/data/mock/maison.ts,21,L’origine,maison origine kicker,mock-data,P0,pending,
marketing.maison.origine.titre,marketing,src/data/mock/maison.ts,22,Une attention partie d’un constat simple.,maison origine title,mock-data,P0,pending,
marketing.maison.origine.paragraph_1,marketing,src/data/mock/maison.ts,24,"FemiGlow est né d’un constat simple : les ongles tiennent quand on leur prête le temps qu’ils demandent. Pas plus, pas moins. Cinq minutes le soir, deux gestes mesurés et un polissoir.",maison origine paragraph,mock-data,P0,pending,
marketing.maison.origine.paragraph_2,marketing,src/data/mock/maison.ts,25,"L’idée a pris forme à Rabat, dans un atelier de l’avenue Patrice Lumumba où la lumière tombe juste avant 18 heures. Trois métiers se sont assis autour d’une table : la formulation, la matière, l’écriture. Une seule conviction — la beauté lente est une attention, jamais une performance.",maison origine paragraph,mock-data,P0,pending,
marketing.maison.origine.paragraph_3,marketing,src/data/mock/maison.ts,26,"Notre fondatrice est biologiste. Elle a suivi plusieurs formations en fabrication cosmétique avant d’éditer ses premières marques de soins naturels. Aujourd’hui, elle anime des formations dans le même atelier où FemiGlow est conçu. Le rituel n’est pas une découverte — c’est une transmission.",maison origine paragraph,mock-data,P0,pending,
marketing.maison.fondatrice.kicker,marketing,src/data/mock/maison.ts,38,La fondatrice,fondatrice kicker,mock-data,P0,pending,
marketing.maison.fondatrice.titre,marketing,src/data/mock/maison.ts,39,"Notre fondatrice, biologiste et formulatrice.",fondatrice title,mock-data,P0,pending,
marketing.maison.fondatrice.paragraph_1,marketing,src/data/mock/maison.ts,41,"Notre fondatrice tient un master en biologie. Elle a suivi plusieurs formations spécialisées en fabrication de produits cosmétiques. Avant FemiGlow, elle a édité plusieurs marques de soins naturels — et chacune lui a appris quelque chose sur le geste, la matière, la traçabilité.",fondatrice paragraph,mock-data,P0,pending,
marketing.maison.fondatrice.paragraph_2,marketing,src/data/mock/maison.ts,42,"Elle anime aujourd’hui des formations dans l’atelier de Rabat, ouvertes aux jeunes formulatrices marocaines. FemiGlow est sa maison la plus lente.",fondatrice paragraph,mock-data,P0,pending,
marketing.maison.atelier.adresse,marketing,src/data/mock/maison.ts,53,25 bis avenue Patrice Lumumba,atelier address,mock-data,P0,pending,
marketing.maison.atelier.quartier,marketing,src/data/mock/maison.ts,54,Rabat,atelier district,mock-data,P0,pending,
marketing.maison.atelier.description_1,marketing,src/data/mock/maison.ts,56,"L’atelier tient dans deux pièces calmes : un plan de travail clair, une bibliothèque d’ouvrages techniques et de carnets, des échantillons de matières rangés par saison.",atelier desc paragraph,mock-data,P1,pending,
marketing.maison.atelier.description_2,marketing,src/data/mock/maison.ts,57,"On y formule en petites séries. On y reçoit notre fondatrice sur rendez-vous, le mardi et le jeudi, pour les formations et les consultations.",atelier desc paragraph,mock-data,P1,pending,
marketing.maison.matieres.cire.nom,marketing,src/data/mock/maison.ts,83,Cire d’abeille,matiere cire,mock-data,P1,pending,
marketing.maison.matieres.cire.origine,marketing,src/data/mock/maison.ts,84,"Récoltée dans le Souss, en partenariat avec une coopérative familiale.",matiere origin,mock-data,P1,pending,
marketing.maison.matieres.cire.pourquoi,marketing,src/data/mock/maison.ts,85,Adoucit le sertissage de l’ongle et tient la paste sans la rigidifier.,matiere pourquoi,mock-data,P1,pending,
marketing.maison.matieres.jojoba.nom,marketing,src/data/mock/maison.ts,91,Huile de jojoba,matiere jojoba,mock-data,P1,pending,
marketing.maison.matieres.jojoba.origine,marketing,src/data/mock/maison.ts,92,"Pressée à froid dans le Souss-Massa, filière marocaine.",matiere jojoba origine,mock-data,P1,pending,
marketing.maison.matieres.jojoba.pourquoi,marketing,src/data/mock/maison.ts,93,Cire liquide qui imite le sébum cutané — nourrit sans graisser.,matiere jojoba pourquoi,mock-data,P1,pending,
marketing.maison.matieres.kaolin.nom,marketing,src/data/mock/maison.ts,99,Kaolin polissant,matiere kaolin,mock-data,P1,pending,
marketing.maison.matieres.kaolin.origine,marketing,src/data/mock/maison.ts,100,"Argile minière marocaine, carrière de Marrakech.",matiere kaolin origin,mock-data,P1,pending,
marketing.maison.matieres.kaolin.pourquoi,marketing,src/data/mock/maison.ts,101,Polit l’ongle sans l’assécher — c’est lui qui anime le polissoir Step 4.,matiere kaolin pourquoi,mock-data,P1,pending,
marketing.maison.matieres.riz.nom,marketing,src/data/mock/maison.ts,107,Poudre de riz,matiere riz,mock-data,P1,pending,
marketing.maison.matieres.riz.origine,marketing,src/data/mock/maison.ts,108,"Cultures biologiques d’Asie, filière tracée.",matiere riz origine,mock-data,P1,pending,
marketing.maison.matieres.riz.pourquoi,marketing,src/data/mock/maison.ts,109,Absorbant doux — c’est elle qui donne à la powder sa finition mate juste avant la brillance.,matiere riz pourquoi,mock-data,P1,pending,
marketing.maison.engagements.sourcing.titre,marketing,src/data/mock/maison.ts,117,Sourcing direct,engagement sourcing,mock-data,P1,pending,
marketing.maison.engagements.sourcing.description,marketing,src/data/mock/maison.ts,119,Chaque matière est tracée jusqu’à son atelier d’origine. Aucun intermédiaire anonyme.,engagement sourcing detail,mock-data,P1,pending,
marketing.maison.engagements.halal.titre,marketing,src/data/mock/maison.ts,123,Certification halal,engagement halal,mock-data,P1,pending,
marketing.maison.engagements.halal.description,marketing,src/data/mock/maison.ts,125,Chaque matière est tracée. Notre fabricant est audité par le Halal Cosmetics Council. Le label figure sur chaque pot et sur le polissoir.,engagement halal detail,mock-data,P1,pending,
marketing.maison.engagements.vernis.titre,marketing,src/data/mock/maison.ts,129,Sans vernis,engagement vernis,mock-data,P1,pending,
marketing.maison.engagements.vernis.description,marketing,src/data/mock/maison.ts,131,"Pas de résine plastique, pas de solvant fort. Le soin se voit à l’ongle, pas dans l’air.",engagement vernis detail,mock-data,P1,pending,
marketing.maison.engagements.rituel.titre,marketing,src/data/mock/maison.ts,135,Rituel lent,engagement rituel,mock-data,P1,pending,
marketing.maison.engagements.rituel.description,marketing,src/data/mock/maison.ts,137,"Tout est calibré pour cinq minutes le soir. Plus court, c’est de la cosmétique. Plus long, c’est une corvée.",engagement rituel detail,mock-data,P1,pending,
marketing.maison.engagements.local.titre,marketing,src/data/mock/maison.ts,141,Local,engagement local,mock-data,P1,pending,
marketing.maison.engagements.local.description,marketing,src/data/mock/maison.ts,143,"Conditionné, étiqueté, expédié depuis Rabat. Quand c’est possible, on garde la chaîne courte.",engagement local detail,mock-data,P1,pending,
marketing.maison.engagements.transmission.titre,marketing,src/data/mock/maison.ts,147,Transmission,engagement transmission,mock-data,P1,pending,
marketing.maison.engagements.transmission.description,marketing,src/data/mock/maison.ts,149,"Notre équipe forme régulièrement des esthéticiennes et des formulatrices à la manucure japonaise, dans l’atelier de Rabat.",engagement transmission detail,mock-data,P1,pending,
marketing.maison.engagements.section.kicker,marketing,src/components/sections/EngagementsGrid.tsx,17,Les six engagements,engagements section kicker,ui-static,P1,pending,
marketing.maison.engagements.section.title,marketing,src/components/sections/EngagementsGrid.tsx,19,Six lignes qui ne bougent pas.,engagements section title,ui-static,P1,pending,
marketing.maison.matieres.section.kicker,marketing,src/components/sections/MatieresGrid.tsx,17,Les matières,matieres section kicker,ui-static,P1,pending,
marketing.maison.matieres.section.title,marketing,src/components/sections/MatieresGrid.tsx,19,"Quatre matières, choisies une à une.",matieres section title,ui-static,P1,pending,
marketing.maison.atelier.section.kicker,marketing,src/components/sections/AtelierGallery.tsx,43,L’atelier,atelier section kicker,ui-static,P1,pending,
marketing.maison.atelier.section.title,marketing,src/components/sections/AtelierGallery.tsx,45,"Rabat, deux pièces calmes.",atelier section title,ui-static,P1,pending,
marketing.maison.atelier.gallery_label,marketing,src/components/sections/AtelierGallery.tsx,66,"Voir la photo : {alt}",gallery view aria,ui-static,P2,pending,interpolation alt
marketing.maison.crosslinks.rituel.kicker,marketing,src/data/mock/maison.ts,156,Le rituel,crosslink rituel kicker,mock-data,P1,pending,
marketing.maison.crosslinks.rituel.titre,marketing,src/data/mock/maison.ts,157,Lire le rituel,crosslink rituel cta,mock-data,P1,pending,
marketing.maison.crosslinks.journal.kicker,marketing,src/data/mock/maison.ts,168,Le journal,crosslink journal kicker,mock-data,P1,pending,
marketing.maison.crosslinks.journal.titre,marketing,src/data/mock/maison.ts,169,Le journal,crosslink journal cta,mock-data,P1,pending,
marketing.maison.crosslinks.kit.kicker,marketing,src/data/mock/maison.ts,180,Le pack,crosslink kit kicker,mock-data,P1,pending,
marketing.maison.crosslinks.kit.titre,marketing,src/data/mock/maison.ts,181,Voir le pack,crosslink kit cta,mock-data,P1,pending,
marketing.rituel.metadata.title,seo,src/app/(marketing)/rituel/page.tsx,24,"Le rituel — manucure japonaise halal, deux gestes",rituel page title,seo-meta,P0,pending,
marketing.rituel.metadata.description,seo,src/app/(marketing)/rituel/page.tsx,26,"Origine japonaise, sciences du soin, interview de notre fondatrice à Rabat. Le rituel FemiGlow raconté sans précipitation.",rituel page description,seo-meta,P0,pending,
marketing.rituel.metadata.og_title,seo,src/app/(marketing)/rituel/page.tsx,30,Le rituel FemiGlow,rituel og title,seo-meta,P1,pending,
marketing.rituel.metadata.og_description,seo,src/app/(marketing)/rituel/page.tsx,31,"Deux gestes, un polissoir, une méthode lente, racontée à Rabat.",rituel og description,seo-meta,P1,pending,
marketing.rituel.howto.name,seo,src/app/(marketing)/rituel/page.tsx,62,Le rituel FemiGlow,howto schema name,seo-meta,P1,pending,
marketing.rituel.howto.description,seo,src/app/(marketing)/rituel/page.tsx,63,"Deux gestes et un polissoir en cinq minutes pour le soin lent des ongles, expliqués pas à pas — manucure japonaise halal.",howto schema description,seo-meta,P1,pending,
marketing.rituel.hero.kicker,marketing,src/data/mock/rituel.ts,10,LE RITUEL,rituel hero kicker,mock-data,P0,pending,en MAJUSCULES — à normaliser
marketing.rituel.hero.title,marketing,src/data/mock/rituel.ts,11,"Manucure japonaise. Deux gestes. Un éclat lent.",rituel hero title,mock-data,P0,pending,
marketing.rituel.hero.subtitle,marketing,src/data/mock/rituel.ts,12,"Une méthode lente, racontée à Rabat.",rituel hero subtitle,mock-data,P0,pending,
marketing.rituel.hero.image_alt,marketing,src/data/mock/rituel.ts,15,"Mains au repos sur un drap de lin clair, lumière oblique de fin de matinée",rituel hero image alt,mock-data,P2,pending,
marketing.rituel.origine.kicker,marketing,src/data/mock/rituel.ts,21,Origine,rituel origine kicker,mock-data,P0,pending,
marketing.rituel.origine.titre,marketing,src/data/mock/rituel.ts,22,"Une attention venue du Japon, transmise à Rabat.",rituel origine title,mock-data,P0,pending,
marketing.rituel.origine.paragraph_1,marketing,src/data/mock/rituel.ts,24,"Au Japon, le soin de la main n’est pas un produit : c’est une attention quotidienne, lente, sans déclaration. La manucure japonaise — connue aussi sous les noms « kawaii » ou « chigiri » — remonte au début du XXᵉ siècle. Elle révèle la brillance naturelle de l’ongle par polissage, sans vernis.",rituel origine paragraph,mock-data,P0,pending,
marketing.rituel.origine.paragraph_2,marketing,src/data/mock/rituel.ts,25,"Notre fondatrice a rapporté ce geste d’un voyage de formation. Elle l’a réinscrit dans un référentiel marocain : matières locales, certification halal, atelier au 25 bis avenue Patrice Lumumba, à Rabat.",rituel origine paragraph,mock-data,P0,pending,
